Wall time,Step,Value
1742441954.400462,0,9.999999747378752e-05
1742442202.17338,1,9.999999747378752e-05
1742442449.962712,2,9.999999747378752e-05
1742442697.8931036,3,9.999999747378752e-05
1742442945.4274733,4,9.999999747378752e-05
1742443192.8268404,5,9.999999747378752e-05
1742443440.822281,6,9.999999747378752e-05
1742443689.019469,7,9.999999747378752e-05
1742443936.7254303,8,9.999999747378752e-05
1742444184.129689,9,9.999999747378752e-05
1742444431.2635145,10,4.999999873689376e-05
1742444678.785582,11,4.999999873689376e-05
1742444926.236449,12,4.999999873689376e-05
1742445173.7541845,13,4.999999873689376e-05
1742445420.8749356,14,4.999999873689376e-05
1742445668.9738722,15,4.999999873689376e-05
1742445916.7081742,16,4.999999873689376e-05
1742446164.234297,17,4.999999873689376e-05
1742446412.0967972,18,4.999999873689376e-05
1742446659.2855983,19,4.999999873689376e-05
1742446906.5323284,20,2.499999936844688e-05
1742447154.2352846,21,2.499999936844688e-05
1742447401.5849235,22,2.499999936844688e-05
1742447649.080663,23,2.499999936844688e-05
1742447896.7766113,24,2.499999936844688e-05
1742448144.229466,25,2.499999936844688e-05
1742448391.5936832,26,2.499999936844688e-05
1742448638.9179525,27,2.499999936844688e-05
1742448886.1666625,28,2.499999936844688e-05
1742449133.46186,29,2.499999936844688e-05
1742449381.0615036,30,1.249999968422344e-05
1742449629.1179173,31,1.249999968422344e-05
1742449876.6758645,32,1.249999968422344e-05
1742450124.7473466,33,1.249999968422344e-05
1742450372.0640965,34,1.249999968422344e-05
1742450619.2703638,35,1.249999968422344e-05
1742450866.6568558,36,1.249999968422344e-05
1742451114.5240095,37,1.249999968422344e-05
1742451361.93033,38,1.249999968422344e-05
1742451609.4809587,39,1.249999968422344e-05
1742451856.580006,40,6.24999984211172e-06
1742452104.3751247,41,6.24999984211172e-06
1742452351.9768264,42,6.24999984211172e-06
1742452599.5544562,43,6.24999984211172e-06
1742452847.1831293,44,6.24999984211172e-06
1742453095.2132354,45,6.24999984211172e-06
1742453342.348678,46,6.24999984211172e-06
1742453589.8941972,47,6.24999984211172e-06
1742453837.0709813,48,6.24999984211172e-06
1742454084.2969918,49,6.24999984211172e-06
1742454332.4782917,50,3.12499992105586e-06
1742454580.1656365,51,3.12499992105586e-06
1742454827.3177943,52,3.12499992105586e-06
1742455075.2581391,53,3.12499992105586e-06
1742455322.8225644,54,3.12499992105586e-06
1742455570.526066,55,3.12499992105586e-06
1742455817.9923694,56,3.12499992105586e-06
1742456065.9175425,57,3.12499992105586e-06
1742456313.225496,58,3.12499992105586e-06
1742456560.6721418,59,3.12499992105586e-06
1742456808.163444,60,1.56249996052793e-06
1742457055.6680207,61,1.56249996052793e-06
1742457302.9743183,62,1.56249996052793e-06
1742457551.0098352,63,1.56249996052793e-06
1742457800.7130404,64,1.56249996052793e-06
1742458050.7647822,65,1.56249996052793e-06
1742458298.3031595,66,1.56249996052793e-06
1742458545.8315234,67,1.56249996052793e-06
1742458793.249644,68,1.56249996052793e-06
1742459041.2460747,69,1.56249996052793e-06
1742459288.9335227,70,7.81249980263965e-07
1742459536.4856558,71,7.81249980263965e-07
1742459784.3732188,72,7.81249980263965e-07
1742460031.3637173,73,7.81249980263965e-07
1742460279.52299,74,7.81249980263965e-07
1742460527.958381,75,7.81249980263965e-07
1742460775.7762964,76,7.81249980263965e-07
1742461023.7485313,77,7.81249980263965e-07
1742461271.3375401,78,7.81249980263965e-07
1742461519.291787,79,7.81249980263965e-07
1742461767.3016982,80,3.906249901319825e-07
1742462015.5592403,81,3.906249901319825e-07
1742462263.2560086,82,3.906249901319825e-07
1742462511.0946283,83,3.906249901319825e-07
1742462758.3216076,84,3.906249901319825e-07
1742463006.5209625,85,3.906249901319825e-07
1742463254.8100865,86,3.906249901319825e-07
1742463502.5977397,87,3.906249901319825e-07
1742463750.4410925,88,3.906249901319825e-07
1742463998.3278372,89,3.906249901319825e-07
1742464246.0321636,90,1.9531249506599124e-07
1742464493.7441769,91,1.9531249506599124e-07
1742464741.2814305,92,1.9531249506599124e-07
1742464988.4422734,93,1.9531249506599124e-07
1742465236.1796663,94,1.9531249506599124e-07
1742465484.2559838,95,1.9531249506599124e-07
1742465732.2966328,96,1.9531249506599124e-07
1742465980.2666633,97,1.9531249506599124e-07
1742466228.2091978,98,1.9531249506599124e-07
1742466475.9434462,99,1.9531249506599124e-07
